118.1, DistDow,118.71, DistUp,189.9,,,,,,,,
, DistFront,106.45, DistDow,118.18, DistUp,3343.35,,,,,,
, DistFront,106.45, DistDow,118.62, DistUp,122.96,,,,,,
, DistFront,117.6, DistDow,118.27, DistUp,3370.1,,,,,,
, DistFront,105.88, DistDow,119.66, DistUp,121.9,,,,,,
, DistFront,116.5, DistDow,118.38, DistUp,193.27,,,,,,
, DistFront,118.32, DistDow,118.45, DistUp,123.27,,,,,,
, DistFront,118.64, DistDow,118.91, DistUp,191.67,,,,,,
, DistFront,118.25, DistDow,118.95, DistUp,193.78,,,,,,
, DistFront,118.32, DistDow,118.98, DistUp,3328.74,,,,,,
, DistFront,107.13, DistDow,117.98, DistUp,123.91,,,,,,
, DistFront,114.63, DistDow,119.18, DistUp,123.11,,,,,,
, DistFront,114.03, DistDow,119.63, DistUp,194.39,,,,,,
, DistFrontMean,118.13, DistDowMean,118.89, DistUpMean,123.59,,,,,,
, DistFront,118.11, DistDow,118.78, DistUp,121.85,,,,,,
, DistFront,118.55, DistDow,118.78, DistUp,123.16,,,,,,
, DistFront,118.16, DistDow,119.18, DistUp,195.12,,,,,,
, DistFront,118.38, DistDow,119.03, DistUp,3.74,,,,,,
, DistFront,118.28, DistDow,118.95, DistUp,122.52,,,,,,
, DistFront,115.48, DistDow,118.84, DistUp,123.61,,,,,,
, DistFront,117.57, DistDow,118.23, DistUp,3.74,,,,,,
, DistFront,117.48, DistDow,118.11, DistUp,3.76,,,,,,
, DistFront,115.34, DistDow,118.13, DistUp,122.11,,,,,,
, DistFront,117.89, DistDow,117.77, DistUp,191.38,,,,,,
, DistFront,117.62, DistDow,118.62, DistUp,122.55,,,,,,
, DistFront,116.31, DistDow,119.49, DistUp,122.62,,,,,,
, DistFront,118.45, DistDow,119.17, DistUp,191.5,,,,,,
, DistFront,116.7, DistDow,118.33, DistUp,196.5,,,,,,
, DistFront,117.28, DistDow,119.35, DistUp,192.04,,,,,,
, DistFront,116.5, DistDow,118.45, DistUp,122.76,,,,,,
, DistFront,118.61, DistDow,118.49, DistUp,191.67,,,,,,
, DistFront,118.64, DistDow,119.35, DistUp,192.52,,,,,,
, DistFront,117.87, DistDow,118.49, DistUp,192.98,,,,,,
, DistFront,117.87, DistDow,118.95, DistUp,124.17,,,,,,
, DistFrontMean,118.42, DistDowMean,118.98, DistUpMean,190.88,,,,,,
, DistFront,117.91, DistDow,118.54, DistUp,122.4,,,,,,
, DistFront,114.56, DistDow,119.42, DistUp,123.83,,,,,,
, DistFront,113.47, DistDow,118.59, DistUp,124.23,,,,,,
, DistFront,117.93, DistDow,118.54, DistUp,124.2,,,,,,
, DistFront,116.14, DistDow,119.88, DistUp,3350.1,,,,,,
, DistFront,106.14, DistDow,118.96, DistUp,3338.11,,,,,,
, DistFront,105.97, DistDow,118.89, DistUp,124.03,,,,,,
, DistFront,116.45, DistDow,119.74, DistUp,122.87,,,,,,
, DistFront,115.66, DistDow,118.89, DistUp,194.25,,,,,,
, DistFront,114.78, DistDow,118.45, DistUp,122.38,,,,,,
, DistFront,117.74, DistDow,119.4, DistUp,123.18,,,,,,
, DistFront,117.7, DistDow,118.83, DistUp,191.6,,,,,,
, DistFront,116.6, DistDow,118.74, DistUp,122.26,,,,,,
, DistFront,117.67, DistDow,119.18, DistUp,121.8,,,,,,
, DistFront,117.6, DistDow,118.74, DistUp,193.59,,,,,,
, DistFront,116.41, DistDow,118.67, DistUp,122.55,,,,,,
, DistFront,114.4, DistDow,119.2, DistUp,190.7,,,,,,
, DistFront,115.46, DistDow,118.2, DistUp,122.93,,,,,,
, DistFront,117.89, DistDow,118.54, DistUp,122.87,,,,,,
, DistFront,114.25, DistDow,118.03, DistUp,121.56,,,,,,
, DistFrontMean,117.35, DistDowMean,118.89, DistUpMean,122.41,,,,,,
, DistFront,117.76, DistDow,119.69, DistUp,121.9,,,,,,
, DistFront,115.41, DistDow,118.04, DistUp,121.46,,,,,,
, DistFront,116.82, DistDow,119.18, DistUp,121.85,,,,,,
, DistFront,116.17, DistDow,117.82, DistUp,123.06,,,,,,
, DistFront,117.13, DistDow,118.33, DistUp,121.77,,,,,,
, DistFront,117.53, DistDow,118.2, DistUp,193.27,,,,,,
, DistFront,117.09, DistDow,118.69, DistUp,191.99,,,,,,
, DistFront,117.04, DistDow,118.11, DistUp,123.28,,,,,,
, DistFront,116.7, DistDow,118.13, DistUp,193.55,,,,,,
, DistFront,117.45, DistDow,117.67, DistUp,123.71,,,,,,
, DistFront,116.67, DistDow,119.1, DistUp,191.56,,,,,,
, DistFront,115.95, DistDow,118.13, DistUp,121.19,,,,,,
, DistFront,117.16, DistDow,117.67, DistUp,196.5,,,,,,
, DistFront,117.04, DistDow,119.12, DistUp,3.76,,,,,,
, DistFront,116.7, DistDow,118.16, DistUp,3332.81,,,,,,
, DistFront,106.24, DistDow,118.25, DistUp,3335.9,,,,,,
, DistFront,106.38, DistDow,117.98, DistUp,121.55,,,,,,
, DistFront,117.55, DistDow,119.06, DistUp,3.74,,,,,,
, DistFront,115.75, DistDow,119.1, DistUp,121.38,,,,,,
, DistFront,117.18, DistDow,118.33, DistUp,3339.54,,,,,,
, DistFrontMean,117.84, DistDowMean,118.96, DistUpMean,3.74,,,,,,
, DistFront,117.89, DistDow,119.83, DistUp,3334.13,,,,,,
, DistFront,106.84, DistDow,118.28, DistUp,3331.26,,,,,,
, DistFront,106.04, DistDow,118.54, DistUp,123.83,,,,,,
, DistFront,118.76, DistDow,118.54, DistUp,3.76,,,,,,
, DistFront,118.78, DistDow,119.39, DistUp,3.64,,,,,,
, DistFront,118.74, DistDow,118.96, DistUp,192.62,,,,,,
, DistFront,118.59, DistDow,119.23, DistUp,3.64,,,,,,
, DistFront,118.11, DistDow,118.67, DistUp,3.64,,,,,,
, DistFront,114.68, DistDow,119.17, DistUp,3365.48,,,,,,
, DistFront,106.63, DistDow,117.89, DistUp,123.11,,,,,,
, DistFront,118.55, DistDow,118.78, DistUp,3.74,,,,,,
, DistFront,118.69, DistDow,119.76, DistUp,3.74,,,,,,
, DistFront,111.21, DistDow,119.34, DistUp,125.05,,,,,,
, DistFront,118.47, DistDow,119.85, DistUp,123.74,,,,,,
, DistFront,119.2, DistDow,119.05, DistUp,196.6,,,,,,
, DistFront,118.4, DistDow,119.49, DistUp,196.53,,,,,,
, DistFront,118.47, DistDow,119.56, DistUp,195.32,,,,,,
, DistFront,118.06, DistDow,119.71, DistUp,3.76,,,,,,
, DistFront,114.47, DistDow,120.05, DistUp,123.98,,,,,,
, DistFront,111.77, DistDow,119.25, DistUp,3342.26,,,,,,
, DistFrontMean,118.28, DistDowMean,119.39, DistUpMean,3.76,,,,,,
, DistFront,118.74, DistDow,118.89, DistUp,122.89,,,,,,
, DistFront,114.78, DistDow,119.76, DistUp,124.52,,,,,,
, DistFront,118.04, DistDow,118.67, DistUp,3.76,,,,,,
, DistFront,117.89, DistDow,118.52, DistUp,3.74,,,,,,
, DistFront,115.37, DistDow,118.95, DistUp,3341.8,,,,,,
, DistFront,107.28, DistDow,119.76, DistUp,3313.81,,,,,,
, DistFront,105.6, DistDow,118.89, DistUp,3359.52,,,,,,
, DistFront,105.68, DistDow,118.59, DistUp,122.93,,,,,,
, DistFront,113.64, DistDow,119.1, DistUp,123.38,,,,,,
, DistFront,118.1, DistDow,119.1, DistUp,3.76,,,,,,
, DistFront,113.42, DistDow,119.56, DistUp,123.84,,,,,,
, DistFront,116.04, DistDow,119.54, DistUp,3305.99,,,,,,
, DistFront,107.28, DistDow,118.64, DistUp,122.96,,,,,,
, DistFront,113.96, DistDow,118.23, DistUp,123.76,,,,,,
, DistFront,117.98, DistDow,118.98, DistUp,3.64,,,,,,
, DistFront,118.25, DistDow,119.39, DistUp,3.76,,,,,,
, DistFront,118.25, DistDow,119.05, DistUp,122.84,,,,,,
, DistFront,117.81, DistDow,119.32, DistUp,3.74,,,,,,
, DistFront,113.03, DistDow,119.76, DistUp,123.2,,,,,,
, DistFront,117.74, DistDow,119.27, DistUp,3.74,,,,,,
, DistFrontMean,117.77, DistDowMean,119.4, DistUpMean,192.82,,,,,,
, DistFront,118.16, DistDow,119.3, DistUp,193.55,,,,,,
, DistFront,118.16, DistDow,119.3, DistUp,192.89,,,,,,
, DistFront,118.16, DistDow,118.89, DistUp,122.31,,,,,,
, DistFront,113.62, DistDow,119.83, DistUp,123.18,,,,,,
, DistFront,116.21, DistDow,118.38, DistUp,192.47,,,,,,
, DistFront,115.66, DistDow,119.3, DistUp,193.38,,,,,,
, DistFront,116.9, DistDow,118.42, DistUp,191.67,,,,,,
, DistFront,117.7, DistDow,119.27, DistUp,123.59,,,,,,
, DistFront,115.2, DistDow,118.91, DistUp,193.35,,,,,,
, DistFront,117.28, DistDow,118.78, DistUp,121.84,,,,,,
, DistFront,115.66, DistDow,119.23, DistUp,123.96,,,,,,
, DistFront,118.55, DistDow,117.93, DistUp,3323.23,,,,,,
, DistFront,106.97, DistDow,118.27, DistUp,3377.53,,,,,,
, DistFront,106.17, DistDow,118.78, DistUp,3358.89,,,,,,
, DistFront,107.11, DistDow,118.88, DistUp,121.5,,,,,,
, DistFront,114.2, DistDow,119.35, DistUp,124,,,,,,
, DistFront,117.84, DistDow,119.35, DistUp,3.76,,,,,,
, DistFront,118.28, DistDow,118.52, DistUp,3.74,,,,,,
, DistFront,117.4, DistDow,118.52, DistUp,123.32,,,,,,
, DistFront,117.91, DistDow,118.59, DistUp,3.76,,,,,,
, DistFrontMean,117.91, DistDowMean,119.54, DistUpMean,3341.92,,,,,,
, DistFront,118.04, DistDow,118.55, DistUp,3.64,,,,,,
, DistFront,117.99, DistDow,119.18, DistUp,3.74,,,,,,
, DistFront,118.42, DistDow,119.66, DistUp,3.74,,,,,,
, DistFront,118.03, DistDow,119.56, DistUp,3.76,,,,,,
, DistFront,118.04, DistDow,118.69, DistUp,121.8,,,,,,
, DistFront,118.54, DistDow,118.76, DistUp,3.74,,,,,,
, DistFront,115.05, DistDow,119.66, DistUp,194,,,,,,
, DistFront,111.48, DistDow,119.34, DistUp,124,,,,,,
, DistFront,116.9, DistDow,119.69, DistUp,123.47,,,,,,
, DistFront,119, DistDow,119.68, DistUp,192.35,,,,,,
, DistFront,118.59, DistDow,120.14, DistUp,123.16,,,,,,
, DistFront,117.87, DistDow,117.93, DistUp,192.28,,,,,,
, DistFront,118.61, DistDow,118.95, DistUp,191.85,,,,,,
, DistFront,114.83, DistDow,118.83, DistUp,123.61,,,,,,
, DistFront,118.61, DistDow,118.83, DistUp,123.2,,,,,,
, DistFront,118.61, DistDow,118.83, DistUp,123.2,,,,,,
, DistFront,118.71, DistDow,119.68, DistUp,3333.49,,,,,,
, DistFront,106.28, DistDow,120.05, DistUp,191.77,,,,,,
, DistFront,118.95, DistDow,118.74, DistUp,125.56,,,,,,
, DistFront,118.49, DistDow,119.59, DistUp,192.18,,,,,,
, DistFrontMean,118.18, DistDowMean,118.69, DistUpMean,123.55,,,,,,
, DistFront,118.06, DistDow,119.13, DistUp,122.26,,,,,,
, DistFront,114.71, DistDow,118.78, DistUp,3340.95,,,,,,
, DistFront,107.41, DistDow,119.13, DistUp,3316.92,,,,,,
, DistFront,106.89, DistDow,119.81, DistUp,3309.46,,,,,,
, DistFront,106.8, DistDow,117.99, DistUp,120.19,,,,,,
, DistFront,113.96, DistDow,118.38, DistUp,3347.06,,,,,,
, DistFront,107.57, DistDow,118.78, DistUp,271.73,,,,,,
, DistFront,115.7, DistDow,118.84, DistUp,3346.9,,,,,,
, DistFront,106.34, DistDow,118.89, DistUp,121.96,,,,,,
, DistFront,117.89, DistDow,119.03, DistUp,3.76,,,,,,
, DistFront,118.55, DistDow,118.64, DistUp,3.76,,,,,,
, DistFront,118.47, DistDow,119.56, DistUp,3.76,,,,,,
, DistFront,115.66, DistDow,118.64, DistUp,3333.84,,,,,,
, DistFront,107.45, DistDow,119.54, DistUp,123.91,,,,,,
, DistFront,117.99, DistDow,118.64, DistUp,192.96,,,,,,
, DistFront,118.84, DistDow,118.62, DistUp,192.41,,,,,,
, DistFront,117.96, DistDow,118.59, DistUp,123.88,,,,,,
, DistFront,117.96, DistDow,119.46, DistUp,192.57,,,,,,
, DistFront,118.84, DistDow,118.96, DistUp,3.64,,,,,,
, DistFront,117.87, DistDow,119.1, DistUp,123.32,,,,,,
, DistFrontMean,118.71, DistDowMean,119.4, DistUpMean,3326.09,,,,,,
, DistFront,117.87, DistDow,118.47, DistUp,3.76,,,,,,
, DistFront,118.23, DistDow,118.45, DistUp,3.74,,,,,,
, DistFront,117.82, DistDow,118.52, DistUp,3.76,,,,,,
, DistFront,114.17, DistDow,118.13, DistUp,196.45,,,,,,
, DistFront,116.55, DistDow,119.39, DistUp,3321.46,,,,,,
, DistFront,106.41, DistDow,118.59, DistUp,121.99,,,,,,
, DistFront,118.33, DistDow,119.05, DistUp,3348.74,,,,,,
, DistFront,106.48, DistDow,119.39, DistUp,122.11,,,,,,
, DistFront,117.87, DistDow,119.35, DistUp,3.76,,,,,,
, DistFront,114.63, DistDow,119.39, DistUp,3353.52,,,,,,
, DistFront,108.1, DistDow,118.55, DistUp,123.32,,,,,,
, DistFront,117.47, DistDow,119.34, DistUp,3330.6,,,,,,
, DistFront,106.39, DistDow,118.4, DistUp,121.55,,,,,,
, DistFront,117.87, DistDow,118.45, DistUp,3344.32,,,,,,
, DistFront,106.89, DistDow,118.89, DistUp,123.71,,,,,,
, DistFront,114.91, DistDow,119.39, DistUp,122.52,,,,,,
, DistFront,115.73, DistDow,118.98, DistUp,122.45,,,,,,
, DistFront,118.35, DistDow,118.13, DistUp,123.81,,,,,,
, DistFront,114.56, DistDow,119.49, DistUp,3322.98,,,,,,
, DistFront,107.6, DistDow,120.12, DistUp,121.9,,,,,,
, DistFrontMean,119.05, DistDowMean,118.83, DistUpMean,123.61,,,,,,
, DistFront,118.2, DistDow,119.74, DistUp,3312.93,,,,,,
, DistFront,108.32, DistDow,119.85, DistUp,192.41,,,,,,
, DistFront,118.32, DistDow,119.46, DistUp,193.67,,,,,,
, DistFront,118.76, DistDow,119.46, DistUp,194.03,,,,,,
, DistFront,113.98, DistDow,119.39, DistUp,194.78,,,,,,
, DistFront,118.4, DistDow,119.32, DistUp,3.76,,,,,,
, DistFront,118.25, DistDow,120.19, DistUp,193.38,,,,,,
, DistFront,118.25, DistDow,120.19, DistUp,124.17,,,,,,
, DistFront,119.1, DistDow,119.74, DistUp,123.28,,,,,,
, DistFront,118.2, DistDow,119.3, DistUp,190.92,,,,,,
, DistFront,119.39, DistDow,118.74, DistUp,193.47,,,,,,
, DistFront,118.06, DistDow,120.03, DistUp,191.33,,,,,,
, DistFront,118.06, DistDow,119.03, DistUp,122.6,,,,,,
, DistFront,118.33, DistDow,118.95, DistUp,124.2,,,,,,
, DistFront,117.84, DistDow,119, DistUp,191.19,,,,,,
, DistFront,117.84, DistDow,119.23, DistUp,190.7,,,,,,
, DistFront,118.91, DistDow,119.25, DistUp,192.35,,,,,,
, DistFront,118.4, DistDow,118.18, DistUp,191.85,,,,,,
, DistFront,118.03, DistDow,118.06, DistUp,122.93,,,,,,
, DistFront,117.87, DistDow,119.34, DistUp,193.06,,,,,,
, DistFrontMean,117.82, DistDowMean,118.88, DistUpMean,122.45,,,,,,
, DistFront,117.35, DistDow,118.42, DistUp,122.31,,,,,,
, DistFront,117.26, DistDow,118.88, DistUp,191.75,,,,,,
, DistFront,117.64, DistDow,118.27, DistUp,192.47,,,,,,
, DistFront,117.6, DistDow,118.67, DistUp,191.7,,,,,,
, DistFront,117.11, DistDow,118.62, DistUp,191.68,,,,,,
, DistFront,115.31, DistDow,118.62, DistUp,192.11,,,,,,
, DistFront,115.49, DistDow,117.77, DistUp,121.7,,,,,,
, DistFront,115.82, DistDow,119.03, DistUp,191.31,,,,,,
, DistFront,115.68, DistDow,117.77, DistUp,191.38,,,,,,
, DistFront,117.11, DistDow,119.06, DistUp,191.7,,,,,,
, DistFront,117.16, DistDow,118.27, DistUp,190.61,,,,,,
, DistFront,114.03, DistDow,117.87, DistUp,191.09,,,,,,
, DistFront,117.62, DistDow,117.48, DistUp,191.45,,,,,,
, DistFront,117.26, DistDow,118.33, DistUp,192.31,,,,,,
, DistFront,117.26, DistDow,118.83, DistUp,192.7,,,,,,
, DistFront,117.76, DistDow,117.91, DistUp,194.88,,,,,,
, DistFront,118.2, DistDow,117.98, DistUp,122.35,,,,,,
, DistFront,117.52, DistDow,118.47, DistUp,192.35,,,,,,
, DistFront,117.52, DistDow,118.61, DistUp,192.4,,,,,,
, DistFront,117.55, DistDow,118.62, DistUp,192.35,,,,,,
, DistFrontMean,117.62, DistDowMean,118.67, DistUpMean,191.21,,,,,,
, DistFront,117.67, DistDow,119.3, DistUp,192.93,,,,,,
, DistFront,118.55, DistDow,118.78, DistUp,195.92,,,,,,
, DistFront,114.23, DistDow,118.38, DistUp,124.06,,,,,,
, DistFront,118.78, DistDow,118.45, DistUp,193.06,,,,,,
, DistFront,117.84, DistDow,118.47, DistUp,195.17,,,,,,
, DistFront,117.87, DistDow,119.97, DistUp,122.93,,,,,,
, DistFront,118.35, DistDow,119.03, DistUp,192.28,,,,,,
, DistFront,118.52, DistDow,119.95, DistUp,122.99,,,,,,
, DistFront,118.03, DistDow,119.69, DistUp,191.11,,,,,,
, DistFront,117.62, DistDow,120.43, DistUp,193.62,,,,,,
, DistFront,118.49, DistDow,118.71, DistUp,191.85,,,,,,
, DistFront,118.61, DistDow,118.69, DistUp,192.67,,,,,,
, DistFront,119.3, DistDow,118.69, DistUp,3331.39,,,,,,
, DistFront,106.48, DistDow,119.03, DistUp,194.4,,,,,,
, DistFront,117.91, DistDow,118.98, DistUp,192.4,,,,,,
, DistFront,118.32, DistDow,118.47, DistUp,191.53,,,,,,
, DistFront,118.71, DistDow,118.89, DistUp,192.35,,,,,,
, DistFront,117.82, DistDow,119.74, DistUp,191.9,,,,,,
, DistFront,117.91, DistDow,118.38, DistUp,194.76,,,,,,
, DistFront,117.74, DistDow,118.83, DistUp,194.4,,,,,,
, DistFrontMean,117.82, DistDowMean,118.78, DistUpMean,194.27,,,,,,
, DistFront,118.13, DistDow,118.33, DistUp,191.45,,,,,,
, DistFront,118.16, DistDow,118.23, DistUp,193.84,,,,,,
, DistFront,118.04, DistDow,118.32, DistUp,192.7,,,,,,
, DistFront,114.05, DistDow,118.18, DistUp,123.49,,,,,,
, DistFront,117.96, DistDow,118.55, DistUp,122.6,,,,,,
, DistFront,118.45, DistDow,118.55, DistUp,123.84,,,,,,
, DistFront,117.89, DistDow,118.06, DistUp,190.56,,,,,,
, DistFront,117.45, DistDow,119.03, DistUp,191.75,,,,,,
, DistFront,117.84, DistDow,118.91, DistUp,191.19,,,,,,
, DistFront,117.4, DistDow,118.59, DistUp,190.46,,,,,,
, DistFront,117.84, DistDow,118.03, DistUp,191.34,,,,,,
, DistFront,117.41, DistDow,118.03, DistUp,191.34,,,,,,
, DistFront,117.41, DistDow,118.47, DistUp,191.8,,,,,,
, DistFront,117.41, DistDow,118.47, DistUp,190.97,,,,,,
, DistFront,117.87, DistDow,119.81, DistUp,190.56,,,,,,
, DistFront,117.06, DistDow,118.13, DistUp,122.55,,,,,,
, DistFront,117.91, DistDow,118.69, DistUp,193.11,,,,,,
, DistFront,117.52, DistDow,119.03, DistUp,193.98,,,,,,
, DistFront,117.55, DistDow,118.61, DistUp,123.88,,,,,,
, DistFront,118.03, DistDow,118.67, DistUp,3311.45,,,,,,
, DistFrontMean,117.64, DistDowMean,118.71, DistUpMean,3.74,,,,,,
, DistFront,118.62, DistDow,118.74, DistUp,3362.48,,,,,,
, DistFront,108.13, DistDow,118.78, DistUp,192.21,,,,,,
, DistFront,117.7, DistDow,119.23, DistUp,123.25,,,,,,
, DistFront,117.89, DistDow,119.71, DistUp,3.64,,,,,,
, DistFront,117.74, DistDow,118.35, DistUp,3.76,,,,,,
, DistFront,114.81, DistDow,119.34, DistUp,196.05,,,,,,
, DistFront,117.69, DistDow,119.63, DistUp,123.18,,,,,,
, DistFront,117.67, DistDow,119.18, DistUp,3326.21,,,,,,
, DistFront,106.19, DistDow,118.27, DistUp,3342.04,,,,,,
, DistFront,106.26, DistDow,118.23, DistUp,3308.84,,,,,,
, DistFront,107.6, DistDow,118.74, DistUp,122.4,,,,,,
, DistFront,117.81, DistDow,119.71, DistUp,3.76,,,,,,
, DistFront,118.33, DistDow,119.83, DistUp,3.74,,,,,,
, DistFront,115.26, DistDow,119.85, DistUp,124.3,,,,,,
, DistFront,116.02, DistDow,119.46, DistUp,3358.71,,,,,,
, DistFront,106.63, DistDow,118.64, DistUp,125.99,,,,,,
, DistFront,113.55, DistDow,119.47, DistUp,122.6,,,,,,
, DistFront,118.47, DistDow,119.13, DistUp,3.76,,,,,,
, DistFront,119, DistDow,119.61, DistUp,3328.74,,,,,,
, DistFront,106.62, DistDow,119.54, DistUp,123.95,,,,,,
, DistFrontMean,118.47, DistDowMean,118.76, DistUpMean,197.18,,,,,,
, DistFront,118.03, DistDow,119.54, DistUp,194.2,,,,,,
, DistFront,117.55, DistDow,119.03, DistUp,194.54,,,,,,
, DistFront,116.6, DistDow,119.42, DistUp,191.99,,,,,,
, DistFront,118.47, DistDow,118.52, DistUp,191.92,,,,,,
, DistFront,117.91, DistDow,119.35, DistUp,191.48,,,,,,
, DistFront,117.74, DistDow,119.23, DistUp,3.64,,,,,,
, DistFront,114.91, DistDow,118.74, DistUp,124.05,,,,,,
, DistFront,117.67, DistDow,118.69, DistUp,191.77,,,,,,
, DistFront,118.06, DistDow,119.54, DistUp,190.9,,,,,,
, DistFront,117.57, DistDow,119.1, DistUp,190.88,,,,,,
, DistFront,118.06, DistDow,119.9, DistUp,121.75,,,,,,
, DistFront,118.35, DistDow,118.54, DistUp,122.93,,,,,,
, DistFront,117.41, DistDow,118.54, DistUp,3309.05,,,,,,
, DistFront,106.26, DistDow,119.25, DistUp,194.23,,,,,,
, DistFront,117.26, DistDow,117.82, DistUp,192.52,,,,,,
, DistFront,118.1, DistDow,118.84, DistUp,194.2,,,,,,
, DistFront,117.26, DistDow,118.27, DistUp,191.55,,,,,,
, DistFront,117.67, DistDow,117.87, DistUp,191.26,,,,,,
, DistFront,117.26, DistDow,119.18, DistUp,191.31,,,,,,
, DistFront,115.92, DistDow,118.78, DistUp,192.18,,,,,,
, DistFrontMean,117.84, DistDowMean,118.38, DistUpMean,124,,,,,,
, DistFront,117.33, DistDow,118.83, DistUp,123.1,,,,,,
, DistFront,117.77, DistDow,117.98, DistUp,194.03,,,,,,
, DistFront,116.56, DistDow,118.95, DistUp,122.87,,,,,,
, DistFront,114.4, DistDow,118.61, DistUp,121.67,,,,,,
, DistFront,118.74, DistDow,118.18, DistUp,123.32,,,,,,
, DistFront,113.42, DistDow,118.18, DistUp,121.24,,,,,,
, DistFront,118.32, DistDow,119.05, DistUp,193.62,,,,,,
, DistFront,117.52, DistDow,118.13, DistUp,123.35,,,,,,
, DistFront,117.52, DistDow,118.59, DistUp,190.68,,,,,,
, DistFront,114.49, DistDow,118.59, DistUp,123.35,,,,,,
, DistFront,117.48, DistDow,118.54, DistUp,190.54,,,,,,
, DistFront,117.52, DistDow,118.69, DistUp,190.99,,,,,,
, DistFront,117.96, DistDow,118.59, DistUp,192.26,,,,,,
, DistFront,116.41, DistDow,118.69, DistUp,191.02,,,,,,
, DistFront,118.89, DistDow,119.59, DistUp,123.55,,,,,,
, DistFront,118.18, DistDow,118.89, DistUp,190.32,,,,,,
, DistFront,118.28, DistDow,118.91, DistUp,122.47,,,,,,
, DistFront,117.91, DistDow,120.31, DistUp,122.96,,,,,,
, DistFront,118.45, DistDow,119.13, DistUp,124.32,,,,,,
, DistFront,119.05, DistDow,119.69, DistUp,123.45,,,,,,
, DistFrontMean,118.61, DistDowMean,119.27, DistUpMean,192.13,,,,,,
, DistFront,118.67, DistDow,118.89, DistUp,123.64,,,,,,
, DistFront,119.54, DistDow,120.63, DistUp,124.13,,,,,,
, DistFront,113.69, DistDow,120.19, DistUp,122.47,,,,,,
, DistFront,109.95, DistDow,118.78, DistUp,191.68,,,,,,
, DistFront,119.25, DistDow,119.03, DistUp,190.56,,,,,,
, DistFront,118.32, DistDow,118.95, DistUp,191.14,,,,,,
, DistFront,113.62, DistDow,119.3, DistUp,190.66,,,,,,
, DistFront,117.33, DistDow,118.83, DistUp,192.69,,,,,,
, DistFront,118.25, DistDow,119.3, DistUp,193.03,,,,,,
, DistFront,117.82, DistDow,119.34, DistUp,191.31,,,,,,
, DistFront,114.27, DistDow,118.23, DistUp,123.52,,,,,,
, DistFront,118.4, DistDow,119.42, DistUp,123.16,,,,,,
, DistFront,111.41, DistDow,118.67, DistUp,124.03,,,,,,
, DistFront,118.13, DistDow,119.03, DistUp,3.64,,,,,,
, DistFront,118.1, DistDow,119.06, DistUp,3.74,,,,,,
, DistFront,118.42, DistDow,119.88, DistUp,3.74,,,,,,
, DistFront,118.64, DistDow,119.06, DistUp,3.64,,,,,,
, DistFront,118.13, DistDow,119.13, DistUp,124.59,,,,,,
, DistFront,111.46, DistDow,119.25, DistUp,122.55,,,,,,
, DistFront,114.76, DistDow,121.05, DistUp,3335.88,,,,,,
, DistFrontMean,118.78, DistDowMean,120.27, DistUpMean,3.76,,,,,,
, DistFront,119.23, DistDow,120.7, DistUp,122.99,,,,,,
, DistFront,113.06, DistDow,119.42, DistUp,272.38,,,,,,
, DistFront,111.73, DistDow,119.85, DistUp,3342.21,,,,,,
, DistFront,108.49, DistDow,119.25, DistUp,125.34,,,,,,
, DistFront,114.32, DistDow,119.63, DistUp,3325.73,,,,,,
, DistFront,107.13, DistDow,119.06, DistUp,3345.85,,,,,,
, DistFront,107.48, DistDow,119.46, DistUp,125.24,,,,,,
, DistFront,118.81, DistDow,119.39, DistUp,272.4,,,,,,
, DistFront,118.47, DistDow,119.85, DistUp,272.81,,,,,,
, DistFront,116.34, DistDow,119.85, DistUp,3334.85,,,,,,
, DistFront,107.02, DistDow,118.11, DistUp,124.71,,,,,,
, DistFront,115.53, DistDow,119.42, DistUp,3313.38,,,,,,
, DistFront,107.09, DistDow,119.97, DistUp,123.13,,,,,,
, DistFront,114, DistDow,119.95, DistUp,123.11,,,,,,
, DistFront,118.38, DistDow,119.39, DistUp,3.76,,,,,,
, DistFront,112.77, DistDow,118.98, DistUp,3349.35,,,,,,
, DistFront,106.33, DistDow,118.81, DistUp,3343.88,,,,,,
, DistFront,106.12, DistDow,118.69, DistUp,123.33,,,,,,
, DistFront,117.89, DistDow,119.4, DistUp,3.74,,,,,,
, DistFront,117.82, DistDow,119.78, DistUp,3.76,,,,,,
, DistFrontMean,118.27, DistDowMean,119.91, DistUpMean,122.87,,,,,,
, DistFront,118.27, DistDow,119.78, DistUp,3342.53,,,,,,
, DistFront,106.17, DistDow,119.05, DistUp,124.1,,,,,,
, DistFront,117.93, DistDow,118.64, DistUp,3.74,,,,,,
, DistFront,113.55, DistDow,119.06, DistUp,3342.28,,,,,,
, DistFront,106.11, DistDow,119.1, DistUp,122.89,,,,,,
, DistFront,113.47, DistDow,119.13, DistUp,124.49,,,,,,
, DistFront,117.69, DistDow,119.12, DistUp,3.64,,,,,,
, DistFront,116.24, DistDow,119.1, DistUp,123.81,,,,,,
, DistFront,113.32, DistDow,119.1, DistUp,3345.7,,,,,,
, DistFront,107.77, DistDow,118.49, DistUp,123.76,,,,,,
, DistFront,113.96, DistDow,119.34, DistUp,124.17,,,,,,
, DistFront,114.4, DistDow,119, DistUp,121.63,,,,,,
, DistFront,115.26, DistDow,119.34, DistUp,124.56,,,,,,
, DistFront,117.89, DistDow,118.81, DistUp,3.64,,,,,,
