118.1, DistDow,118.71, DistUp,189.9,,,,,,,,
, DistFront,115.37, DistDow,118.52, DistUp,124.25,,,,,,
, DistFront,117.91, DistDow,118.54, DistUp,191.85,,,,,,
, DistFront,117.93, DistDow,115.88, DistUp,122.53,,,,,,
, DistFront,117.47, DistDow,115.82, DistUp,124.2,,,,,,
, DistFront,117.48, DistDow,118.98, DistUp,122.53,,,,,,
, DistFrontMean,118.74, DistDowMean,118.54, DistUpMean,191.39,,,,,,
, DistFront,117.48, DistDow,118.54, DistUp,191.85,,,,,,
, DistFront,115.12, DistDow,118.98, DistUp,122.93,,,,,,
, DistFront,117.47, DistDow,118.54, DistUp,126.19,,,,,,
, DistFront,114.91, DistDow,118.59, DistUp,122.53,,,,,,
, DistFront,112.93, DistDow,118.61, DistUp,122.98,,,,,,
, DistFront,115.31, DistDow,119.42, DistUp,122.53,,,,,,
, DistFront,117.93, DistDow,117.09, DistUp,122.6,,,,,,
, DistFront,114.88, DistDow,118.28, DistUp,123.03,,,,,,
, DistFront,114.13, DistDow,118.62, DistUp,121.8,,,,,,
, DistFront,115.56, DistDow,117.06, DistUp,123.03,,,,,,
, DistFront,113.25, DistDow,118.2, DistUp,122.64,,,,,,
, DistFront,118.78, DistDow,118.55, DistUp,3.64,,,,,,
, DistFront,114.03, DistDow,118.98, DistUp,122.16,,,,,,
, DistFront,118.32, DistDow,119.4, DistUp,123.42,,,,,,
, DistFront,113.03, DistDow,118.64, DistUp,123.81,,,,,,
, DistFront,112.6, DistDow,118.62, DistUp,123.38,,,,,,
, DistFront,118.25, DistDow,118.88, DistUp,3.76,,,,,,
, DistFront,117.33, DistDow,118.03, DistUp,3345.97,,,,,,
, DistFront,106.48, DistDow,118.54, DistUp,124.95,,,,,,
, DistFront,113.61, DistDow,118.13, DistUp,121.7,,,,,,
, DistFrontMean,117.93, DistDowMean,118.59, DistUpMean,3335.37,,,,,,
, DistFront,118.84, DistDow,118.23, DistUp,3.64,,,,,,
, DistFront,113.59, DistDow,118.74, DistUp,121.39,,,,,,
, DistFront,114.23, DistDow,118.71, DistUp,123.06,,,,,,
, DistFront,114.12, DistDow,119.2, DistUp,122.26,,,,,,
, DistFront,113.62, DistDow,118.32, DistUp,123.52,,,,,,
, DistFront,117.64, DistDow,119.61, DistUp,123.55,,,,,,
, DistFront,113.59, DistDow,119.2, DistUp,271.96,,,,,,
, DistFront,114.32, DistDow,118.42, DistUp,3343.83,,,,,,
, DistFront,108.1, DistDow,119.34, DistUp,123.96,,,,,,
, DistFront,115.43, DistDow,118.38, DistUp,121.48,,,,,,
, DistFront,114.27, DistDow,117.99, DistUp,122.7,,,,,,
, DistFront,114.13, DistDow,118.84, DistUp,124.83,,,,,,
, DistFront,114.12, DistDow,118.38, DistUp,122.74,,,,,,
, DistFront,112.06, DistDow,118.33, DistUp,3351.12,,,,,,
, DistFront,107.57, DistDow,119.25, DistUp,122.7,,,,,,
, DistFront,114.32, DistDow,119.13, DistUp,123.06,,,,,,
, DistFront,112.28, DistDow,119.06, DistUp,121.38,,,,,,
, DistFront,117.99, DistDow,118.62, DistUp,3.74,,,,,,
, DistFront,112.76, DistDow,119.1, DistUp,122.21,,,,,,
, DistFront,118.03, DistDow,118.62, DistUp,3.76,,,,,,
, DistFrontMean,118.1, DistDowMean,119.49, DistUpMean,121.7,,,,,,
, DistFront,118.38, DistDow,118.59, DistUp,121.31,,,,,,
, DistFront,115.85, DistDow,119.05, DistUp,121.7,,,,,,
, DistFront,115.46, DistDow,119.42, DistUp,121.7,,,,,,
, DistFront,117.48, DistDow,119.47, DistUp,3.76,,,,,,
, DistFront,114.56, DistDow,118.59, DistUp,124.63,,,,,,
, DistFront,114.56, DistDow,118.16, DistUp,122.55,,,,,,
, DistFront,114.85, DistDow,118.18, DistUp,122.16,,,,,,
, DistFront,114.88, DistDow,118.67, DistUp,122.16,,,,,,
, DistFront,112.77, DistDow,118.23, DistUp,122.21,,,,,,
, DistFront,118.04, DistDow,118.64, DistUp,125.03,,,,,,
, DistFront,112.57, DistDow,119.13, DistUp,122.62,,,,,,
, DistFront,118.16, DistDow,118.32, DistUp,121.84,,,,,,
, DistFront,116.31, DistDow,118.33, DistUp,123.45,,,,,,
, DistFront,112.41, DistDow,117.91, DistUp,122.7,,,,,,
, DistFront,114.88, DistDow,117.18, DistUp,192.38,,,,,,
, DistFront,114.85, DistDow,119.81, DistUp,122.77,,,,,,
, DistFront,113.13, DistDow,119.3, DistUp,123.27,,,,,,
, DistFront,113.78, DistDow,118.88, DistUp,122.31,,,,,,
, DistFront,118.25, DistDow,118.59, DistUp,123.27,,,,,,
, DistFront,117.53, DistDow,119.78, DistUp,122.82,,,,,,
, DistFrontMean,117.89, DistDowMean,119.39, DistUpMean,122.81,,,,,,
, DistFront,117.87, DistDow,119.83, DistUp,125.46,,,,,,
, DistFront,112.67, DistDow,118.98, DistUp,122.16,,,,,,
, DistFront,115.12, DistDow,119.46, DistUp,124.27,,,,,,
, DistFront,113.38, DistDow,118.98, DistUp,122.99,,,,,,
, DistFront,111.99, DistDow,119, DistUp,123.47,,,,,,
, DistFront,112.82, DistDow,119.42, DistUp,271.26,,,,,,
, DistFront,114.61, DistDow,119.46, DistUp,122.67,,,,,,
, DistFront,114.76, DistDow,118.95, DistUp,123.91,,,,,,
, DistFront,118.35, DistDow,118.59, DistUp,190.56,,,,,,
, DistFront,113.71, DistDow,118.98, DistUp,192.74,,,,,,
, DistFront,113.59, DistDow,118.61, DistUp,191.92,,,,,,
, DistFront,119.25, DistDow,119.05, DistUp,190.68,,,,,,
, DistFront,113.13, DistDow,118.64, DistUp,193.23,,,,,,
, DistFront,113.11, DistDow,119.49, DistUp,123.96,,,,,,
, DistFront,118.88, DistDow,118.59, DistUp,190.99,,,,,,
, DistFront,117.96, DistDow,119.05, DistUp,3337.02,,,,,,
, DistFront,106.62, DistDow,119.83, DistUp,3332.33,,,,,,
, DistFront,106.96, DistDow,118.42, DistUp,198.11,,,,,,
, DistFront,117.76, DistDow,118.32, DistUp,123.67,,,,,,
, DistFront,118.64, DistDow,118.74, DistUp,124.47,,,,,,
, DistFrontMean,117.69, DistDowMean,118.74, DistUpMean,124.39,,,,,,
, DistFront,117.69, DistDow,118.27, DistUp,125.32,,,,,,
, DistFront,113.52, DistDow,118.74, DistUp,121.9,,,,,,
, DistFront,117.76, DistDow,118.69, DistUp,193.89,,,,,,
, DistFront,114.56, DistDow,118.69, DistUp,196.39,,,,,,
, DistFront,118.1, DistDow,118.74, DistUp,193.89,,,,,,
, DistFront,112.96, DistDow,120.03, DistUp,197.28,,,,,,
, DistFront,115.12, DistDow,119.23, DistUp,195.24,,,,,,
, DistFront,114.91, DistDow,117.57, DistUp,123.67,,,,,,
, DistFront,112.52, DistDow,118.38, DistUp,3351.09,,,,,,
, DistFront,106.89, DistDow,119.3, DistUp,123.27,,,,,,
, DistFront,118.64, DistDow,119.74, DistUp,122.02,,,,,,
, DistFront,119.06, DistDow,118.38, DistUp,124.54,,,,,,
, DistFront,117.81, DistDow,119.74, DistUp,271.77,,,,,,
, DistFront,113.49, DistDow,119.34, DistUp,123.32,,,,,,
, DistFront,118.25, DistDow,118.42, DistUp,122.45,,,,,,
, DistFront,118.28, DistDow,119.81, DistUp,3356.82,,,,,,
, DistFront,107.74, DistDow,118.95, DistUp,3344.61,,,,,,
, DistFront,106.92, DistDow,117.16, DistUp,3325.97,,,,,,
, DistFront,106.89, DistDow,119.83, DistUp,122.11,,,,,,
, DistFront,112.47, DistDow,118.62, DistUp,122.52,,,,,,
, DistFrontMean,118.33, DistDowMean,119.03, DistUpMean,123.81,,,,,,
