AcX:,diffAcX,AcY:,diffAcY:,AcZ:,diffAcZ:,AgX:,diffAgX:,AgY:,diffAgY:,AgZ:,diffAgZ:,activity,,,
-6326,27,798,28,15092,0,-1792,0,-219,1,72,32,stop,,,
-6283,43,837,39,15086,6,-1796,4,-195,24,33,39,stop,,,
-6276,7,834,3,15090,4,-1792,4,-229,34,41,8,stop,,,
-6244,32,839,5,15075,15,-1795,3,-229,0,91,50,stop,,,
-6259,15,833,6,15078,3,-1794,1,-269,40,103,12,stop,,,
-6283,24,848,15,15116,38,-1797,3,-277,8,113,10,stop,,,
-6312,29,815,33,15095,21,-1795,2,-296,19,83,30,stop,,,
-6279,33,798,17,15100,5,-1793,2,-273,23,93,10,stop,,,
-6297,18,793,5,15076,24,-1794,1,-253,20,107,14,stop,,,
-6311,14,795,2,15070,6,-1795,1,-216,37,98,9,stop,,,
-6313,2,823,28,15099,29,-1792,3,-239,23,67,31,stop,,,
-6295,18,833,10,15080,19,-1790,2,-203,36,45,22,stop,,,
-6282,13,858,25,15081,1,-1791,1,-193,10,71,26,stop,,,
-6275,7,883,25,15075,6,-1790,1,-230,37,101,30,stop,,,
-6286,11,871,12,15092,17,-1794,4,-284,54,104,3,stop,,,
-6295,9,846,25,15097,5,-1792,2,-311,27,88,16,stop,,,
-6286,9,814,32,15104,7,-1792,0,-283,28,86,2,stop,,,
-6291,5,819,5,15079,25,-1789,3,-250,33,104,18,stop,,,
-6313,22,797,22,15071,8,-1790,1,-259,9,121,17,stop,,,
-6324,11,800,3,15081,10,-1786,4,-256,3,91,30,stop,,,
-6326,2,786,14,15081,0,-1792,6,-204,52,49,42,stop,,,
-6305,21,859,73,15075,6,-1792,0,-179,25,35,14,stop,,,
-6266,39,863,4,15080,5,-1792,0,-214,35,51,16,stop,,,
-6257,9,878,15,15073,7,-1789,3,-265,51,103,52,stop,,,
-6282,25,861,17,15074,1,-1789,0,-302,37,110,7,stop,,,
-6301,19,830,31,15095,21,-1787,2,-305,3,98,12,stop,,,
-6285,16,811,19,15080,15,-1789,2,-274,31,87,11,stop,,,
-6296,11,794,17,15088,8,-1782,7,-254,20,102,15,stop,,,
-6304,8,809,15,15096,8,-1791,9,-221,33,85,17,stop,,,
-6298,6,848,39,15086,10,-1788,3,-219,2,62,23,stop,,,
-6291,7,856,8,15099,13,-1790,2,-206,13,43,19,stop,,,
-6262,29,865,9,15083,16,-1785,5,-231,25,72,29,stop,,,
-6269,7,864,1,15106,23,-1788,3,-271,40,110,38,stop,,,
-6269,0,867,3,15085,21,-1787,1,-264,7,99,11,stop,,,
-6280,11,842,25,15114,29,-1786,1,-297,33,95,4,stop,,,
-6284,4,819,23,15072,42,-1784,2,-287,10,79,16,stop,,,
-6287,3,798,21,15074,2,-1782,2,-257,30,105,26,stop,,,
-6293,6,815,17,15076,2,-1779,3,-227,30,100,5,stop,,,
-6298,5,839,24,15076,0,-1785,6,-202,25,68,32,stop,,,
-6294,4,866,27,15111,35,-1784,1,-210,8,64,4,stop,,,
-6268,26,877,11,15083,28,-1782,2,-236,26,16,48,stop,,,
-6239,29,852,25,15069,14,-1787,5,-263,27,80,64,stop,,,
-6255,16,854,2,15097,28,-1783,4,-272,9,118,38,stop,,,
-6270,15,840,14,15121,24,-1781,2,-256,16,123,5,stop,,,
-6288,18,849,9,15098,23,-1781,0,-279,23,103,20,stop,,,
-6290,2,815,34,15086,12,-1780,1,-260,19,83,20,stop,,,
-6277,13,804,11,15076,10,-1782,2,-248,12,85,2,stop,,,
-6279,2,804,0,15111,35,-1784,2,-220,28,71,14,stop,,,
-6283,4,844,40,15094,17,-1781,3,-169,51,69,2,stop,,,
-6273,10,890,46,15086,8,-1778,3,-200,31,73,4,stop,,,
-6262,11,892,2,15089,3,-1780,2,-231,31,70,3,stop,,,
-6262,0,863,29,15091,2,-1780,0,-289,58,115,45,stop,,,
-6228,34,858,5,14919,172,-1760,20,-258,31,114,1,stop,,,
-6298,70,863,5,15068,149,-1778,18,-295,37,107,7,stop,,,
-6294,4,820,43,15085,17,-1777,1,-284,11,95,12,stop,,,
-6292,2,839,19,15064,21,-1777,0,-249,35,94,1,stop,,,
-6300,8,826,13,15095,31,-1777,0,-235,14,86,8,stop,,,
-6301,1,834,8,15106,11,-1771,6,-208,27,73,13,stop,,,
-6303,2,872,38,15066,40,-1774,3,-189,19,79,6,stop,,,
-6280,23,875,3,15082,16,-1775,1,-223,34,51,28,stop,,,
-6268,12,908,33,15078,4,-1779,4,-241,18,90,39,stop,,,
-6283,15,870,38,15082,4,-1780,1,-292,51,119,29,stop,,,
-6312,29,862,8,15061,21,-1774,6,-256,36,104,15,stop,,,
-6304,8,860,2,15091,30,-1775,1,-295,39,87,17,stop,,,
-6300,4,827,33,15066,25,-1778,3,-283,12,76,11,stop,,,
-6299,1,826,1,15081,15,-1778,0,-250,33,91,15,stop,,,
-6298,1,844,18,15078,3,-1776,2,-234,16,94,3,stop,,,
-6297,1,837,7,15105,27,-1777,1,-216,18,76,18,stop,,,
-6347,50,840,3,15102,3,-1775,2,-197,19,45,31,stop,,,
-6250,97,840,0,15094,8,-1771,4,-168,29,25,20,stop,,,
-6211,39,951,111,15077,17,-1772,1,-66,102,84,59,stop,,,
-6284,73,964,13,15076,1,-1774,2,-126,60,98,14,stop,,,
-6214,70,1072,108,15092,16,-1774,0,-140,14,-11,109,stop,,,
-6206,8,1243,171,15106,14,-1773,1,-157,17,17,28,stop,,,
-6163,43,1199,44,15116,10,-1772,1,-370,213,105,88,stop,,,
-6202,39,1086,113,15015,101,-1773,1,-203,167,174,69,stop,,,
-6258,56,1168,82,15108,93,-1777,4,-221,18,131,43,stop,,,
-6340,82,1095,73,15138,30,-1772,5,-388,167,30,101,stop,,,
-6162,178,1032,63,15080,58,-1771,1,-227,161,-19,49,stop,,,
-6224,62,1030,2,15053,27,-1770,1,-342,115,24,43,stop,,,
-6050,174,992,38,15184,131,-1773,3,-232,110,-68,92,stop,,,
-6244,194,1106,114,15132,52,-1777,4,41,188,6,74,stop,,,
-5898,346,1198,92,15271,139,-1771,6,-405,361,-206,212,stop,,,
-5956,58,1025,173,14998,273,-1755,16,-207,198,101,307,stop,,,
-5833,123,1149,124,15246,248,-1775,20,-207,0,177,76,stop,,,
-6206,373,1159,10,15144,102,-1775,0,-57,150,210,33,stop,,,
-5919,287,1276,117,15248,104,-1774,1,-263,206,57,153,stop,,,
-6248,329,1241,35,15083,165,-1773,1,-141,122,212,155,stop,,,
-6010,238,1307,66,15133,50,-1775,2,-255,114,97,115,stop,,,
-6199,189,1302,5,15143,10,-1774,1,-230,25,94,3,stop,,,
-6040,159,1272,30,15162,19,-1774,0,-344,114,99,5,stop,,,
-6156,116,1244,28,15098,64,-1774,0,-229,115,127,28,stop,,,
-6113,43,1273,29,15126,28,-1770,4,-246,17,124,3,stop,,,
-6206,93,1301,28,15101,25,-1769,1,-264,18,155,31,stop,,,
-6190,16,1229,72,15096,5,-1766,3,-319,55,124,31,stop,,,
-6220,30,1221,8,15109,13,-1770,4,-229,90,105,19,stop,,,
-6189,31,1266,45,15122,13,-1769,1,-195,34,88,17,stop,,,
-6222,33,1303,37,15055,67,-1770,1,-179,16,69,19,stop,,,
-6193,29,1341,38,15094,39,-1770,0,-254,75,55,14,stop,,,
-6176,17,1284,57,15089,5,-1771,1,-284,30,78,23,stop,,,
-6205,29,1289,5,15076,13,-1769,2,-276,8,104,26,stop,,,
-6188,17,1281,8,15109,33,-1770,1,-229,47,132,28,stop,,,
-6241,53,1309,28,15106,3,-1765,5,-282,53,115,17,stop,,,
-6233,8,1240,69,15076,30,-1768,3,-279,3,82,33,stop,,,
-6227,6,1227,13,15083,7,-1768,0,-259,20,91,9,stop,,,
-6215,12,1254,27,15099,16,-1768,0,-230,29,79,12,stop,,,
-6181,34,1251,3,14950,149,-1753,15,-186,44,63,16,stop,,,
-6219,38,1301,50,15091,141,-1770,17,-211,25,66,3,stop,,,
-6212,7,1305,4,15066,25,-1769,1,-248,37,63,3,stop,,,
-6186,26,1280,25,15090,24,-1765,4,-303,55,95,32,stop,,,
-6210,24,1268,12,15087,3,-1768,3,-268,35,97,2,stop,,,
-6224,14,1270,2,15103,16,-1764,4,-303,35,99,2,stop,,,
-6222,2,1223,47,15074,29,-1764,0,-288,15,82,17,stop,,,
-6223,1,1213,10,15090,16,-1764,0,-272,16,96,14,stop,,,
-6239,16,1208,5,15084,6,-1767,3,-222,50,91,5,stop,,,
-6168,71,1212,4,14952,132,-1750,17,-214,8,71,20,stop,,,
-6235,67,1260,48,15091,139,-1768,18,-215,1,72,1,stop,,,
-6212,23,1265,5,15085,6,-1767,1,-229,14,54,18,stop,,,
-6196,16,1264,1,15078,7,-1765,2,-293,64,88,34,stop,,,
-6202,6,1243,21,15099,21,-1764,1,-292,1,98,10,stop,,,
-6215,13,1226,17,15111,12,-1763,1,-279,13,108,10,stop,,,
-6231,16,1207,19,15078,33,-1765,2,-285,6,80,28,stop,,,
-6224,7,1196,11,15098,20,-1765,0,-258,27,98,18,stop,,,
-6229,5,1200,4,15095,3,-1768,3,-248,10,100,2,stop,,,
-6243,14,1183,17,15096,1,-1764,4,-219,29,76,24,stop,,,
-6251,8,1217,34,15071,25,-1764,0,-218,1,54,22,stop,,,
-6202,49,1230,13,15081,10,-1770,6,-215,3,41,13,stop,,,
-6191,11,1231,1,15084,3,-1763,7,-243,28,80,39,stop,,,
-6198,7,1251,20,15079,5,-1763,0,-281,38,109,29,stop,,,
-6222,24,1232,19,15114,35,-1766,3,-292,11,99,10,stop,,,
-6228,6,1209,23,15114,0,-1762,4,-297,5,88,11,stop,,,
-6225,3,1194,15,15091,23,-1763,1,-281,16,78,10,stop,,,
-6219,6,1167,27,15082,9,-1764,1,-261,20,98,20,stop,,,
-6229,10,1188,21,15097,15,-1765,1,-230,31,90,8,stop,,,
-6232,3,1211,23,15089,8,-1761,4,-244,14,65,25,stop,,,
-6212,20,1193,18,15099,10,-1766,5,-230,14,60,5,stop,,,
-6196,16,1233,40,15098,1,-1762,4,-223,7,66,6,stop,,,
-6193,3,1236,3,15090,8,-1766,4,-250,27,98,32,stop,,,
-6203,10,1219,17,15090,0,-1768,2,-283,33,104,6,stop,,,
-6224,21,1213,6,15114,24,-1766,2,-292,9,108,4,stop,,,
-6236,12,1165,48,15090,24,-1766,0,-302,10,78,30,stop,,,
-6238,2,1150,15,15102,12,-1766,0,-269,33,84,6,stop,,,
-6212,26,1160,10,15094,8,-1766,0,-244,25,87,3,stop,,,
-6156,56,1152,8,14950,144,-1744,22,-242,2,88,1,stop,,,
-6245,89,1164,12,15089,139,-1762,18,-288,46,97,9,stop,,,
-6221,24,1125,39,15092,3,-1761,1,-250,38,68,29,stop,,,
-6211,10,1152,27,15099,7,-1762,1,-200,50,64,4,stop,,,
-6209,2,1195,43,15090,9,-1765,3,-178,22,79,15,stop,,,
-6220,11,1229,34,15092,2,-1762,3,-192,14,85,6,stop,,,
-6209,11,1260,31,15082,10,-1762,0,-275,83,91,6,stop,,,
-6216,7,1209,51,15092,10,-1762,0,-320,45,76,15,stop,,,
-6217,1,1167,42,15100,8,-1761,1,-345,25,94,18,stop,,,
-6222,5,1131,36,15085,15,-1761,0,-288,57,89,5,stop,,,
-6220,2,1118,13,15096,11,-1758,3,-243,45,87,2,stop,,,
-6224,4,1135,17,15102,6,-1759,1,-258,15,90,3,stop,,,
-6217,7,1114,21,15103,1,-1761,2,-264,6,84,6,stop,,,
-6215,2,1088,26,15106,3,-1759,2,-243,21,84,0,stop,,,
-6211,4,1118,30,15111,5,-1761,2,-195,48,63,21,stop,,,
-6203,8,1174,56,15077,34,-1763,2,-183,12,72,9,stop,,,
-6220,17,1185,11,15097,20,-1761,2,-244,61,81,9,stop,,,
-6181,39,1180,5,15075,22,-1758,3,-267,23,75,6,stop,,,
-6189,8,1148,32,15104,29,-1759,1,-311,44,105,30,stop,,,
-6216,27,1148,0,15086,18,-1758,1,-277,34,111,6,stop,,,
-6222,6,1132,16,15124,38,-1763,5,-276,1,106,5,stop,,,
-6247,25,1118,14,15093,31,-1761,2,-286,10,97,9,stop,,,
-6250,3,1110,8,15099,6,-1761,0,-268,18,69,28,stop,,,
-6226,24,1102,8,15102,3,-1759,2,-231,37,72,3,stop,,,
-6220,6,1121,19,15113,11,-1756,3,-209,22,67,5,stop,,,
-6209,11,1183,62,15110,3,-1761,5,-216,7,77,10,stop,,,
-6219,10,1150,33,15087,23,-1756,5,-227,11,72,5,stop,,,
-6201,18,1197,47,15083,4,-1761,5,-257,30,73,1,stop,,,
-6218,17,1159,38,15088,5,-1761,0,-290,33,98,25,stop,,,
-6222,4,1161,2,15104,16,-1758,3,-261,29,109,11,stop,,,
-6233,11,1156,5,15085,19,-1760,2,-282,21,111,2,stop,,,
-6250,17,1108,48,15075,10,-1763,3,-288,6,89,22,stop,,,
-6239,11,1113,5,15079,4,-1759,4,-253,35,93,4,stop,,,
-6234,5,1111,2,15105,26,-1760,1,-211,42,85,8,stop,,,
-6235,1,1153,42,15069,36,-1757,3,-175,36,82,3,stop,,,
-6256,21,1192,39,15083,14,-1759,2,-220,45,93,11,stop,,,
-6229,27,1188,4,15079,4,-1759,0,-232,12,70,23,stop,,,
-6250,21,1179,9,15084,5,-1755,4,-298,66,99,29,stop,,,
-6246,4,1173,6,15086,2,-1756,1,-289,9,101,2,stop,,,
-6258,12,1166,7,15083,3,-1757,1,-294,5,90,11,stop,,,
-6269,11,1127,39,15079,4,-1756,1,-290,4,82,8,stop,,,
-6240,29,1130,3,15072,7,-1760,4,-256,34,76,6,stop,,,
-6259,19,1111,19,15093,21,-1757,3,-243,13,100,24,stop,,,
-6263,4,1147,36,15085,8,-1756,1,-215,28,80,20,stop,,,
-6261,2,1175,28,15072,13,-1756,0,-204,11,84,4,stop,,,
-6264,3,1175,0,15058,14,-1759,3,-225,21,75,9,stop,,,
-6241,23,1203,28,15062,4,-1755,4,-259,34,69,6,stop,,,
-6255,14,1169,34,15071,9,-1753,2,-300,41,98,29,stop,,,
-6258,3,1179,10,15080,9,-1755,2,-287,13,103,5,stop,,,
-6214,44,1135,44,14918,162,-1736,19,-285,2,96,7,stop,,,
-6269,55,1121,14,15076,158,-1754,18,-279,6,72,24,stop,,,
-6272,3,1109,12,15071,5,-1756,2,-266,13,79,7,stop,,,
-6272,0,1122,13,15084,13,-1755,1,-232,34,86,7,stop,,,
-6262,10,1146,24,15093,9,-1757,2,-194,38,73,13,stop,,,
-6250,12,1187,41,15080,13,-1756,1,-207,13,91,18,stop,,,
-6262,12,1164,23,15076,4,-1751,5,-231,24,64,27,stop,,,
-6253,9,1190,26,15047,29,-1752,1,-247,16,92,28,stop,,,
-6260,7,1166,24,15055,8,-1754,2,-281,34,98,6,stop,,,
-6262,2,1164,2,15061,6,-1751,3,-286,5,98,0,stop,,,
-6278,16,1138,26,15085,24,-1755,4,-306,20,97,1,stop,,,
-6263,15,1106,32,15069,16,-1754,1,-281,25,70,27,stop,,,
-6263,0,1108,2,15073,4,-1755,1,-262,19,86,16,stop,,,
-6279,16,1105,3,15084,11,-1752,3,-227,35,89,3,stop,,,
-6273,6,1129,24,15067,17,-1754,2,-202,25,73,16,stop,,,
-6273,0,1152,23,15087,20,-1752,2,-213,11,73,0,stop,,,
-6238,35,1175,23,15077,10,-1749,3,-219,6,54,19,stop,,,
-6239,1,1177,2,15063,14,-1750,1,-262,43,85,31,stop,,,
-6253,14,1156,21,15077,14,-1752,2,-276,14,104,19,stop,,,
-6277,24,1148,8,15111,34,-1754,2,-288,12,105,1,stop,,,
-6271,6,1130,18,15107,4,-1755,1,-307,19,81,24,stop,,,
-6209,62,1081,49,14932,175,-1737,18,-286,21,65,16,stop,,,
-6248,39,1077,4,15073,141,-1753,16,-253,33,89,24,stop,,,
-6269,21,1098,21,15085,12,-1753,0,-232,21,93,4,stop,,,
-6269,0,1100,2,15110,25,-1752,1,-211,21,72,21,stop,,,
-6253,16,1136,36,15085,25,-1752,0,-215,4,68,4,stop,,,
-6241,12,1134,2,15082,3,-1752,0,-206,9,48,20,stop,,,
-6159,82,1151,17,14927,155,-1733,19,-227,21,73,25,stop,,,
-6234,75,1173,22,15075,148,-1747,14,-272,45,99,26,stop,,,
-6254,20,1164,9,15081,6,-1750,3,-319,47,94,5,stop,,,
-6250,4,1085,79,15097,16,-1748,2,-318,1,86,8,stop,,,
-6234,16,1088,3,15069,28,-1750,2,-277,41,84,2,stop,,,
-6247,13,1082,6,15087,18,-1748,2,-238,39,105,21,stop,,,
-6263,16,1111,29,15082,5,-1749,1,-209,29,101,4,stop,,,
-6269,6,1144,33,15085,3,-1752,3,-254,45,116,15,stop,,,
-6289,20,1076,68,15095,10,-1750,2,-291,37,85,31,stop,,,
-6264,25,1078,2,15089,6,-1751,1,-223,68,59,26,stop,,,
