, DistFrontMean, 119.12, DistDowMean, 120.07, DistUpMean, 3636.92
, DistFront, 119.13, DistDow, 119.10, DistUp, 3.78
, DistFront, 117.91, DistDow, 120.56, DistUp, 3.76
, DistFront, 118.40, DistDow, 120.05, DistUp, 3.76
, DistFront, 117.60, DistDow, 121.02, DistUp, 3.78
, DistFront, 118.10, DistDow, 119.32, DistUp, 3.78
, DistFront, 117.91, DistDow, 120.43, DistUp, 3.78
, DistFront, 117.60, DistDow, 118.81, DistUp, 3.78
, DistFront, 117.69, DistDow, 118.03, DistUp, 3.78
, DistFront, 118.59, DistDow, 119.03, DistUp, 3.78
, DistFront, 118.23, DistDow, 119.40, DistUp, 3.67
, DistFront, 117.55, DistDow, 118.78, DistUp, 3.76
, DistFront, 117.76, DistDow, 119.71, DistUp, 3.67
, DistFront, 118.33, DistDow, 119.56, DistUp, 3.76
, DistFront, 117.64, DistDow, 118.42, DistUp, 3.67
, DistFront, 117.13, DistDow, 119.25, DistUp, 3643.20
, DistFront, 106.12, DistDow, 119.17, DistUp, 3623.47
, DistFront, 106.21, DistDow, 119.10, DistUp, 183.32
, DistFront, 117.89, DistDow, 119.06, DistUp, 3.67
, DistFrontMean, 117.47, DistDowMean, 120.46, DistUpMean, 3634.39
, DistFront, 117.81, DistDow, 119.12, DistUp, 3.76
, DistFront, 118.49, DistDow, 120.02, DistUp, 3.64
, DistFront, 117.99, DistDow, 120.82, DistUp, 3.67
, DistFront, 117.55, DistDow, 119.68, DistUp, 3.76
, DistFront, 117.04, DistDow, 118.69, DistUp, 3.64
, DistFront, 117.19, DistDow, 118.76, DistUp, 3.78
, DistFront, 117.04, DistDow, 118.59, DistUp, 3.64
, DistFront, 116.77, DistDow, 119.71, DistUp, 3.78
, DistFront, 117.21, DistDow, 118.76, DistUp, 3.64
, DistFront, 117.77, DistDow, 119.91, DistUp, 3.76
, DistFront, 118.10, DistDow, 121.38, DistUp, 3.76
, DistFront, 118.03, DistDow, 120.14, DistUp, 3.76
, DistFront, 117.89, DistDow, 119.97, DistUp, 3.76
, DistFront, 117.24, DistDow, 119.32, DistUp, 3.76
, DistFront, 118.11, DistDow, 119.68, DistUp, 3.67
, DistFront, 117.33, DistDow, 118.98, DistUp, 3.67
, DistFront, 118.10, DistDow, 120.61, DistUp, 3.76
, DistFront, 118.89, DistDow, 120.56, DistUp, 3.78
, DistFront, 118.33, DistDow, 120.88, DistUp, 3.76
, DistFrontMean, 119.20, DistDowMean, 120.02, DistUpMean, 3668.62
, DistFront, 118.52, DistDow, 120.61, DistUp, 3.76
, DistFront, 119.39, DistDow, 120.17, DistUp, 3.76
, DistFront, 119.71, DistDow, 120.56, DistUp, 3.76
, DistFront, 119.20, DistDow, 120.85, DistUp, 3.76
, DistFront, 119.47, DistDow, 119.88, DistUp, 3.78
, DistFront, 118.64, DistDow, 120.20, DistUp, 3.64
, DistFront, 119.39, DistDow, 119.76, DistUp, 3.78
, DistFront, 118.69, DistDow, 120.37, DistUp, 3.76
, DistFront, 118.03, DistDow, 121.48, DistUp, 3.76
, DistFront, 118.59, DistDow, 120.26, DistUp, 3.76
, DistFront, 118.35, DistDow, 120.77, DistUp, 3.64
, DistFront, 118.28, DistDow, 120.82, DistUp, 3.76
, DistFront, 117.19, DistDow, 119.20, DistUp, 3.67
, DistFront, 117.67, DistDow, 119.27, DistUp, 3.76
, DistFront, 117.24, DistDow, 118.84, DistUp, 3689.23
, DistFront, 105.56, DistDow, 118.84, DistUp, 3639.54
, DistFront, 106.39, DistDow, 119.27, DistUp, 3634.61
, DistFront, 106.92, DistDow, 119.81, DistUp, 3618.49
, DistFront, 106.34, DistDow, 118.74, DistUp, 3655.14
, DistFront, 106.97, DistDow, 119.46, DistUp, 3642.93
, DistFrontMean, 117.02, DistDowMean, 120.26, DistUpMean, 3.67
, DistFront, 116.90, DistDow, 120.31, DistUp, 3652.57
, DistFront, 105.97, DistDow, 119.59, DistUp, 3660.90
, DistFront, 106.90, DistDow, 119.23, DistUp, 3640.27
, DistFront, 104.98, DistDow, 117.70, DistUp, 3624.68
, DistFront, 106.24, DistDow, 117.57, DistUp, 3647.38
, DistFront, 105.32, DistDow, 117.64, DistUp, 3634.68
, DistFront, 106.28, DistDow, 118.61, DistUp, 181.12
, DistFront, 116.63, DistDow, 118.67, DistUp, 179.81
, DistFront, 117.70, DistDow, 118.47, DistUp, 3.64
, DistFront, 117.11, DistDow, 117.76, DistUp, 3.76
, DistFront, 116.14, DistDow, 118.32, DistUp, 3.76
, DistFront, 116.50, DistDow, 117.77, DistUp, 3.76
, DistFront, 115.92, DistDow, 116.96, DistUp, 3.78
, DistFront, 115.26, DistDow, 117.62, DistUp, 3.67
, DistFront, 117.19, DistDow, 118.28, DistUp, 3.78
, DistFront, 115.63, DistDow, 118.06, DistUp, 3.67
, DistFront, 116.90, DistDow, 118.88, DistUp, 3.76
, DistFront, 116.02, DistDow, 119.27, DistUp, 3.78
, DistFront, 115.56, DistDow, 117.82, DistUp, 3.78
, DistFront, 115.60, DistDow, 118.71, DistUp, 3.64
, DistFrontMean, 115.54, DistDowMean, 119.56, DistUpMean, 3636.38
, DistFront, 115.54, DistDow, 120.17, DistUp, 3.76
, DistFront, 114.97, DistDow, 116.97, DistUp, 3.76
, DistFront, 115.12, DistDow, 117.47, DistUp, 3.78
, DistFront, 114.81, DistDow, 118.71, DistUp, 3.76
, DistFront, 115.41, DistDow, 117.76, DistUp, 3.76
, DistFront, 115.31, DistDow, 117.31, DistUp, 3.67
, DistFront, 116.41, DistDow, 117.52, DistUp, 3.76
, DistFront, 116.77, DistDow, 117.60, DistUp, 3.76
, DistFront, 115.56, DistDow, 117.11, DistUp, 3.78
, DistFront, 116.33, DistDow, 117.11, DistUp, 3.64
, DistFront, 116.45, DistDow, 117.55, DistUp, 220.56
, DistFront, 115.66, DistDow, 116.70, DistUp, 221.34
, DistFront, 115.20, DistDow, 118.03, DistUp, 218.83
, DistFront, 115.70, DistDow, 116.75, DistUp, 220.90
, DistFront, 115.63, DistDow, 116.80, DistUp, 219.27
, DistFront, 115.73, DistDow, 116.90, DistUp, 218.42
, DistFront, 115.78, DistDow, 117.40, DistUp, 218.18
, DistFront, 116.33, DistDow, 117.60, DistUp, 218.98
, DistFront, 117.19, DistDow, 117.60, DistUp, 3.76
, DistFront, 116.50, DistDow, 118.11, DistUp, 220.34
, DistFrontMean, 116.56, DistDowMean, 119.05, DistUpMean, 220.31
, DistFront, 117.62, DistDow, 119.17, DistUp, 222.02
, DistFront, 118.10, DistDow, 118.91, DistUp, 3653.59
, DistFront, 106.97, DistDow, 119.30, DistUp, 3614.18
, DistFront, 105.83, DistDow, 118.96, DistUp, 3617.33
, DistFront, 106.38, DistDow, 119.59, DistUp, 3647.13
, DistFront, 105.19, DistDow, 118.96, DistUp, 3648.61
, DistFront, 105.48, DistDow, 117.87, DistUp, 3612.35
, DistFront, 105.53, DistDow, 119.63, DistUp, 3663.81
, DistFront, 106.56, DistDow, 118.47, DistUp, 3627.67
, DistFront, 106.96, DistDow, 120.77, DistUp, 178.18
, DistFront, 117.41, DistDow, 119.03, DistUp, 3.76
, DistFront, 116.99, DistDow, 119.83, DistUp, 3.78
, DistFront, 117.19, DistDow, 119.63, DistUp, 3.76
, DistFront, 116.82, DistDow, 119.18, DistUp, 3.78
, DistFront, 117.52, DistDow, 120.27, DistUp, 3.67
, DistFront, 116.50, DistDow, 123.28, DistUp, 3.76
, DistFront, 118.23, DistDow, 121.60, DistUp, 3.76
, DistFront, 116.75, DistDow, 120.85, DistUp, 3.76
, DistFront, 117.77, DistDow, 121.53, DistUp, 3.76
, DistFront, 118.74, DistDow, 120.39, DistUp, 3.78
, DistFrontMean, 118.76, DistDowMean, 119.49, DistUpMean, 3603.04
, DistFront, 117.06, DistDow, 119.97, DistUp, 3.76
, DistFront, 117.45, DistDow, 120.24, DistUp, 3.78
, DistFront, 116.77, DistDow, 118.83, DistUp, 3.76
, DistFront, 117.21, DistDow, 118.91, DistUp, 3662.41
, DistFront, 105.14, DistDow, 118.45, DistUp, 3635.63
, DistFront, 105.90, DistDow, 118.23, DistUp, 3631.55
, DistFront, 107.06, DistDow, 118.67, DistUp, 3640.85
, DistFront, 107.11, DistDow, 118.62, DistUp, 3636.90
, DistFront, 106.33, DistDow, 119.46, DistUp, 3648.42
, DistFront, 108.38, DistDow, 119.40, DistUp, 3639.66
, DistFront, 107.31, DistDow, 121.02, DistUp, 3615.99
, DistFront, 109.10, DistDow, 120.20, DistUp, 3630.48
, DistFront, 106.80, DistDow, 119.61, DistUp, 224.91
, DistFront, 118.83, DistDow, 119.13, DistUp, 220.41
, DistFront, 119.61, DistDow, 119.61, DistUp, 225.77
, DistFront, 119.56, DistDow, 119.05, DistUp, 223.64
, DistFront, 119.54, DistDow, 119.40, DistUp, 222.02
, DistFront, 118.23, DistDow, 119.35, DistUp, 222.84
, DistFront, 119.42, DistDow, 120.20, DistUp, 221.89
, DistFront, 119.40, DistDow, 119.32, DistUp, 223.52
, DistFrontMean, 118.59, DistDowMean, 119.30, DistUpMean, 223.54
, DistFront, 119.00, DistDow, 120.17, DistUp, 220.99
, DistFront, 119.03, DistDow, 119.40, DistUp, 222.67
, DistFront, 118.47, DistDow, 120.92, DistUp, 3.76
, DistFront, 118.55, DistDow, 119.83, DistUp, 222.02
, DistFront, 119.91, DistDow, 119.81, DistUp, 222.04
, DistFront, 118.74, DistDow, 120.75, DistUp, 222.09
, DistFront, 119.40, DistDow, 120.43, DistUp, 3.64
, DistFront, 118.74, DistDow, 121.17, DistUp, 3.78
, DistFront, 118.33, DistDow, 120.37, DistUp, 3.76
, DistFront, 119.10, DistDow, 119.83, DistUp, 3.67
, DistFront, 118.98, DistDow, 119.71, DistUp, 3.76
, DistFront, 117.33, DistDow, 119.78, DistUp, 3.78
, DistFront, 118.47, DistDow, 122.28, DistUp, 3.76
, DistFront, 117.70, DistDow, 121.02, DistUp, 3.76
, DistFront, 117.19, DistDow, 122.26, DistUp, 3.76
, DistFront, 117.91, DistDow, 120.39, DistUp, 3.78
, DistFront, 117.28, DistDow, 3608.32, DistUp, 3.76
, DistFront, 117.76, DistDow, 123.20, DistUp, 3.76
, DistFront, 117.21, DistDow, 120.03, DistUp, 3.67
