, DistFront, 115.61, DistDow, 3289.34, DistUp, 113.96
, DistFront, 115.17, DistDow, 3265.92, DistUp, 114.03
, DistFront, 114.63, DistDow, 3273.62, DistUp, 113.20
, DistFront, 114.91, DistDow, 3259.34, DistUp, 113.61
, DistFront, 115.46, DistDow, 3290.05, DistUp, 114.63
, DistFront, 115.97, DistDow, 314.47, DistUp, 115.99
, DistFront, 116.48, DistDow, 3258.23, DistUp, 113.96
, DistFront, 114.83, DistDow, 3254.68, DistUp, 113.55
, DistFront, 115.26, DistDow, 3246.97, DistUp, 113.59
, DistFront, 115.66, DistDow, 3246.99, DistUp, 113.06
, DistFront, 116.34, DistDow, 3259.97, DistUp, 113.81
, DistFrontMean, 114.61, DistDowMean, 3221.41, DistUpMean, 114.56
, DistFront, 115.37, DistDow, 3272.91, DistUp, 113.55
, DistFront, 114.76, DistDow, 3240.70, DistUp, 113.45
, DistFront, 114.30, DistDow, 3226.70, DistUp, 113.11
, DistFront, 115.19, DistDow, 314.47, DistUp, 114.40
, DistFront, 116.05, DistDow, 3319.18, DistUp, 114.97
, DistFront, 116.05, DistDow, 3250.37, DistUp, 115.10
, DistFront, 114.49, DistDow, 3289.23, DistUp, 114.03
, DistFront, 114.46, DistDow, 315.43, DistUp, 113.28
, DistFront, 115.34, DistDow, 314.32, DistUp, 112.64
, DistFront, 114.85, DistDow, 315.26, DistUp, 113.98
, DistFront, 116.60, DistDow, 3205.17, DistUp, 113.81
, DistFront, 114.59, DistDow, 3233.69, DistUp, 113.88
, DistFront, 115.34, DistDow, 3247.40, DistUp, 113.96
, DistFront, 114.20, DistDow, 3297.98, DistUp, 113.33
, DistFront, 119.00, DistDow, 3247.91, DistUp, 113.40
, DistFront, 115.43, DistDow, 3274.10, DistUp, 113.61
, DistFront, 114.56, DistDow, 314.23, DistUp, 113.40
, DistFront, 115.49, DistDow, 3211.70, DistUp, 113.55
, DistFront, 114.74, DistDow, 3225.77, DistUp, 113.71
, DistFront, 114.88, DistDow, 3250.14, DistUp, 114.10
, DistFrontMean, 115.19, DistDowMean, 3288.59, DistUpMean, 114.20
, DistFront, 115.99, DistDow, 3250.77, DistUp, 115.19
, DistFront, 115.20, DistDow, 3258.61, DistUp, 115.49
, DistFront, 115.17, DistDow, 3246.04, DistUp, 117.16
, DistFront, 115.61, DistDow, 3233.88, DistUp, 113.84
, DistFront, 115.24, DistDow, 3295.34, DistUp, 115.20
, DistFront, 115.70, DistDow, 3266.31, DistUp, 114.42
, DistFront, 115.41, DistDow, 312.96, DistUp, 114.74
, DistFront, 115.41, DistDow, 3248.74, DistUp, 115.02
, DistFront, 114.81, DistDow, 3271.14, DistUp, 113.62
, DistFront, 116.46, DistDow, 3254.05, DistUp, 115.88
, DistFront, 118.61, DistDow, 3246.63, DistUp, 115.61
, DistFront, 119.85, DistDow, 3255.75, DistUp, 116.34
, DistFront, 117.31, DistDow, 3235.24, DistUp, 114.25
, DistFront, 117.74, DistDow, 3259.69, DistUp, 113.52
, DistFront, 114.85, DistDow, 3264.06, DistUp, 114.06
, DistFront, 114.32, DistDow, 3243.64, DistUp, 113.62
, DistFront, 116.70, DistDow, 3256.56, DistUp, 114.42
, DistFront, 114.91, DistDow, 3237.64, DistUp, 112.91
, DistFront, 115.99, DistDow, 317.06, DistUp, 112.74
, DistFront, 114.25, DistDow, 315.37, DistUp, 113.10
, DistFrontMean, 114.69, DistDowMean, 3273.33, DistUpMean, 112.84
, DistFront, 114.40, DistDow, 3250.02, DistUp, 114.20
, DistFront, 114.25, DistDow, 314.18, DistUp, 113.74
, DistFront, 114.49, DistDow, 313.83, DistUp, 113.89
, DistFront, 114.66, DistDow, 3262.38, DistUp, 117.13
, DistFront, 114.88, DistDow, 3245.75, DistUp, 114.63
, DistFront, 114.88, DistDow, 3264.52, DistUp, 113.69
, DistFront, 115.61, DistDow, 3255.07, DistUp, 115.27
, DistFront, 115.70, DistDow, 3249.63, DistUp, 115.03
, DistFront, 117.31, DistDow, 3234.27, DistUp, 114.68
, DistFront, 115.17, DistDow, 3238.32, DistUp, 113.81
, DistFront, 114.66, DistDow, 3282.18, DistUp, 113.06
, DistFront, 115.95, DistDow, 3231.89, DistUp, 113.83
, DistFront, 114.10, DistDow, 3266.60, DistUp, 113.04
, DistFront, 114.66, DistDow, 3264.54, DistUp, 112.60
, DistFront, 116.46, DistDow, 3270.66, DistUp, 113.04
