 DistFront,4.88, DistDow,9.88, DistUp,122.11,ObstDistMax120cm ,,,
 DistFront,5.92, DistDow,125.83, DistUp,263.45,ObstDistMax120cm ,,,
 DistFront,5.63, DistDow,10.88, DistUp,121.19,ObstDistMax120cm ,,,
 DistFront,6.33, DistDow,7.91, DistUp,301.82,ObstDistMax120cm ,,,
 DistFront,10.63, DistDow,9.71, DistUp,107.64,ObstDistMax120cm ,,,
 DistFront,6.56, DistDow,8.62, DistUp,119.78,ObstDistMax120cm ,,,
 DistFrontMean,144.76, DistDowMean,8.52, DistUpMean,297.28,ObstDistMax120cm,,,
 DistFront,143.18, DistDow,9.06, DistUp,252.67,ObstDistMax120cm ,,,
 DistFront,10.32, DistDow,5.54, DistUp,83.55,ObstDistMax120cm ,,,
 DistFront,7.53, DistDow,7.62, DistUp,70.66,ObstDistMax120cm ,,,
 DistFront,5.78, DistDow,8.27, DistUp,69.85,ObstDistMax120cm ,,,
 DistFront,5.68, DistDow,7.35, DistUp,71.21,ObstDistMax120cm ,,,
 DistFront,4.98, DistDow,6.75, DistUp,69.69,ObstDistMax120cm ,,,
 DistFront,7.57, DistDow,6.45, DistUp,69.42,ObstDistMax120cm ,,,
 DistFront,4.95, DistDow,0.19, DistUp,70.6,ObstDistMax120cm ,,,
 DistFront,7.62, DistDow,6.34, DistUp,70.49,ObstDistMax120cm ,,,
 DistFront,4.83, DistDow,8.32, DistUp,71.31,ObstDistMax120cm ,,,
 DistFront,4.85, DistDow,73.96, DistUp,6.24,ObstDistMax120cm ,,,
 DistFront,70.03, DistDow,72.45, DistUp,2.77,ObstDistMax120cm ,,,
