 DistFront, DistDow, DistUp,classe,,,,
91.21,193.67,85.14,obstaculo_suspenso,1,,,
100.37,111.77,94.12,obstaculo_suspenso,1,,,
97.77,194.52,96.31,obstaculo_suspenso,1,,,
101.21,149.18,94.34,obstaculo_suspenso,1,,,
102.38,148.47,96.33,obstaculo_suspenso,1,,,
100.83,112.6,94.61,obstaculo_suspenso,1,,,
93.4,161.89,94.9,obstaculo_suspenso,1,,,
86.7,159.71,79.76,obstaculo_suspenso,1,,,
196.21,230.14,65.85,obstaculo_suspenso,1,,,
59.13,124.25,52.62,obstaculo_suspenso,1,,,
170.82,163.67,43.71,obstaculo_suspenso,1,,,
166.7,169.97,41.41,obstaculo_suspenso,1,,,
170.14,164.13,41.11,obstaculo_suspenso,1,,,
171.6,206.97,41.9,obstaculo_suspenso,1,,,
169.25,170.78,41.14,obstaculo_suspenso,1,,,
169.1,206.89,43.62,obstaculo_suspenso,1,,,
171.28,218.45,58.96,obstaculo_suspenso,1,,,
47.4,116.14,60.7,obstaculo_suspenso,1,,,
168.67,212.41,41.9,obstaculo_suspenso,1,,,
169.61,177.89,58.98,obstaculo_suspenso,1,,,
60.73,161.46,135.46,obstaculo_suspenso,1,,,
59.95,161.39,138.61,obstaculo_suspenso,1,,,
60.48,161.9,75.24,obstaculo_suspenso,1,,,
61.09,160.19,192.41,obstaculo_suspenso,1,,,
60.12,116.11,74.4,obstaculo_suspenso,1,,,
61.17,114.71,61.48,obstaculo_suspenso,1,,,
66.9,114.35,62.55,obstaculo_suspenso,1,,,
196.31,228.67,82.02,obstaculo_suspenso,1,,,
87.38,153.25,110.26,obstaculo_suspenso,1,,,
99.03,153.42,100.24,obstaculo_suspenso,1,,,
56.7,118.62,56.46,obstaculo_suspenso,1,,,
178.52,209.3,47.7,obstaculo_suspenso,1,,,
170.31,205.2,41.34,obstaculo_suspenso,1,,,
172.47,215.07,42.82,obstaculo_suspenso,1,,,
172.62,212.98,43.91,obstaculo_suspenso,1,,,
52.47,149.42,43.89,obstaculo_suspenso,1,,,
169.68,261.26,41.6,obstaculo_suspenso,1,,,
179.27,206.75,43.38,obstaculo_suspenso,1,,,
51.38,154.13,64.95,obstaculo_suspenso,1,,,
56.33,135.77,67.91,obstaculo_suspenso,1,,,
176.14,265.92,68.18,obstaculo_suspenso,1,,,
177.89,214.12,66.17,obstaculo_suspenso,1,,,
176.33,264.85,48.89,obstaculo_suspenso,1,,,
176.9,216.73,52.21,obstaculo_suspenso,1,,,
176.14,212.24,49.71,obstaculo_suspenso,1,,,
175.63,268.59,48.81,obstaculo_suspenso,1,,,
176.19,164.06,68.71,obstaculo_suspenso,1,,,
176.31,161.84,47.69,obstaculo_suspenso,1,,,
179.12,220.61,66.41,obstaculo_suspenso,1,,,
132.4,130.26,44.34,obstaculo_suspenso,1,,,
112.55,110.07,44.03,obstaculo_suspenso,1,,,
103.98,128.91,40.82,obstaculo_suspenso,1,,,
102.77,128.96,41.41,obstaculo_suspenso,1,,,
131.63,109.91,42.31,obstaculo_suspenso,1,,,
104.05,77.47,105.19,obstaculo_suspenso,1,,,
102.45,73.84,108.84,obstaculo_suspenso,1,,,
106.62,74.56,129.18,obstaculo_suspenso,1,,,
104.18,72.69,250.97,obstaculo_suspenso,1,,,
105.19,77.11,105.92,obstaculo_suspenso,1,,,
103.84,80.24,129.35,obstaculo_suspenso,1,,,
105.43,109.18,98.06,obstaculo_suspenso,1,,,
74.25,100.19,35.56,obstaculo_suspenso,1,,,
130.6,111.77,36.73,obstaculo_suspenso,1,,,
133.23,129.25,41.39,obstaculo_suspenso,1,,,
105.19,95.32,41.24,obstaculo_suspenso,1,,,
84.98,73.35,46.9,obstaculo_suspenso,1,,,
145.7,134.32,234.69,obstaculo_suspenso,1,,,
80.85,73.4,146.89,obstaculo_suspenso,1,,,
103.35,95.61,105.92,obstaculo_suspenso,1,,,
149.32,107.38,231.75,obstaculo_suspenso,1,,,
104.52,138.28,78.35,obstaculo_suspenso,1,,,
75.07,122.09,66.67,obstaculo_suspenso,1,,,
115.97,119.1,54.81,obstaculo_suspenso,1,,,
